Neighbourhood,NeighbourhoodId,CityGrantsFunding,NeighbourhoodEquityScore,SalvationArmyDonors,WalkScore,WatermainBreaks
Agincourt South-Malvern West,128,8900,53.43,533,66,12
Agincourt North,129,0,54.67,467,66,4
Milliken,130,2000,56.85,337,65,1
Rouge,131,0,48.81,805,42,2
Malvern,132,101775,43.89,498,61,0
Centennial Scarborough,133,0,70.75,611,54,2
Highland Creek,134,0,58.77,433,54,1
Morningside,135,22000,36.89,460,53,8
West Hill,136,55370,37.25,765,66,8
Woburn,137,144255,39.01,1429,66,22
Eglinton East,138,5800,36.28,396,62,5
Scarborough Village,139,3200,33.94,410,70,6
Guildwood,140,11500,66.19,903,59,14
